,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,Registered city,Price
0,Honda,CR-V,2003,Brown,Nigerian Used,122871,2000,Registered,Imported,,1458000.0
1,Acura,MDX,2008,Black,Nigerian Used,356275,3700,Registered,Imported,LAGOS,3394687.0
2,Peugeot,307,2003,Silver,Nigerian Used,217534,1600,Registered,Registered,Lagos,1687500.0
3,Nissan,Sentra,2004,Green,Nigerian Used,290538,1800,Registered,Registered,Lagos,1125000.0
4,Kia,Forte,2012,Gray,Foreign Used,190301,2000,Imported,Imported,,4275000.0
5,Kia,Cerato,2013,Gray,Nigerian Used,120725,1600,Registered,Brand new,LAGOS,3375000.0
6,Hyundai,Grandeur,2008,Black,Nigerian Used,295245,2700,Registered,Imported,Rivers State,3375000.0
7,Honda,CR-V,2013,Black,Nigerian Used,92698,2400,Registered,Brand new,Lagos,7537500.0
8,Toyota,Sienna,2006,Red,Foreign Used,353906,3300,Imported,Imported,,6075000.0
9,Mercedes-Benz,M Class,2006,Silver,Nigerian Used,2061,5000,Registered,Registered,LAGOS,3825000.0
10,Land Rover,Lr3,2008,Blue,Nigerian Used,139394,4400,Registered,Imported,LAGOS,3729375.0
11,Toyota,Matrix,2005,Blue,Nigerian Used,155314,1800,Registered,Imported,Lagos,3037500.0
12,Hyundai,Ix35,2011,Black,Nigerian Used,113565,2000,Registered,Registered,Lagos,3375000.0
13,Honda,Accord,2004,Gray,Nigerian Used,178262,3000,Registered,Registered,Lagos,1386562.0
14,Toyota,Corolla,2008,Silver,Nigerian Used,187115,1800,Registered,Brand new,,2677500.0
15,Acura,TL,2012,Purple,Nigerian Used,145605,3700,Registered,Imported,LAGOS,5400000.0
16,Honda,Pilot,2004,Black,Nigerian Used,268854,3500,Registered,Imported,LAGOS,1462500.0
17,Honda,Civic,2006,Black,Foreign Used,141008,1800,Imported,Imported,,6412500.0
18,Toyota,Avalon,2006,Red,Nigerian Used,416864,3500,Registered,Imported,,2452500.0
19,Ford,Edge,2009,Blue,Nigerian Used,156673,3500,Registered,Imported,,2724750.0
20,Toyota,Camry,2007,Silver,Nigerian Used,321459,2500,Registered,Registered,LAGOS,2700000.0
21,Toyota,Corolla,2003,Red,Nigerian Used,329177,1800,Registered,Imported,Lagos State,3656250.0
22,Peugeot,406,2004,Gray,Nigerian Used,9999,2000,Registered,Registered,,1575000.0
23,Ford,Edge,2008,Red,Nigerian Used,175142,3500,Registered,Registered,ABUJA,2475000.0
24,Toyota,Highlander,2003,Gold,Foreign Used,276266,3000,Imported,Imported,,4050000.0
25,Toyota,Sienna,2009,Gold,Nigerian Used,315529,3500,Registered,Imported,lagos,2587500.0
26,Toyota,Corolla,2010,Black,Nigerian Used,186914,1800,Registered,Registered,lagos,3375000.0
27,Kia,Mohave,2014,Brown,Nigerian Used,51008,,Registered,Brand new,LAGOS,7875000.0
28,Toyota,RAV4,2008,Black,Nigerian Used,144235,2400,Registered,Imported,LAGOS,4275000.0
29,Toyota,Highlander,2005,Silver,Nigerian Used,169582,3500,Registered,Registered,Lagos,3150000.0
30,Lexus,ES,2003,Silver,Foreign Used,234036,3000,Imported,Imported,,3712500.0
31,Toyota,Matrix,2003,Silver,Nigerian Used,154120,1800,Registered,Registered,,2812500.0
32,Land Rover,Range Rover Vogue,2010,Gray,Nigerian Used,138617,5000,Registered,Imported,,7875000.0
33,Toyota,RAV4,2007,Gold,Nigerian Used,182547,3500,Registered,Registered,LAGOS,3937500.0
34,Toyota,Highlander,2003,Black,Nigerian Used,154632,3000,Registered,Imported,,2587500.0
35,Toyota,Camry,2010,Gray,Nigerian Used,102401,2500,Registered,Registered,ABUJA,3937500.0
36,Toyota,Corolla,2008,Gold,Nigerian Used,262750,1800,Registered,Imported,Lagos State,3150000.0
37,Honda,Accord,2017,Black,Foreign Used,91264,2400,Imported,Imported,,11812500.0
38,Lexus,ES,2004,Black,Nigerian Used,397177,3300,Registered,Imported,,2475000.0
39,Mazda,CX-7,2008,Black,Nigerian Used,263288,2300,Registered,Registered,LAGOS,6187500.0
40,Toyota,Camry,2003,Silver,Nigerian Used,414009,3000,Registered,Registered,LAGOS,2025000.0
41,Toyota,Sienna,2007,Gray,Nigerian Used,242657,3500,Registered,Imported,Lagos,3322125.0
42,Lexus,GS,2006,White,Nigerian Used,150958,3000,Registered,Registered,,2953125.0
43,Volkswagen,Sharan,2002,Green,Nigerian Used,321211,1800,Registered,Registered,Abuja,3375000.0
44,Hyundai,Tucson,2018,Black,Nigerian Used,49812,1800,Registered,Brand new,Lagos,12375000.0
45,Toyota,Camry,2010,Silver,Nigerian Used,221393,2500,Registered,Registered,,3375000.0
46,Toyota,Corolla,2009,Gold,Foreign Used,226268,1800,Imported,Imported,,6187500.0
47,Honda,Accord,2005,Black,Nigerian Used,180600,2000,Registered,Registered,LAGOS,2025000.0
48,Hyundai,Santa Fe,2001,Gold,Nigerian Used,338670,2000,Registered,Imported,,1125000.0
49,Nissan,Altima,2008,Black,Nigerian Used,333807,2500,Registered,Registered,,1434375.0
50,Honda,Accord,2011,Black,Nigerian Used,142962,2400,Registered,Registered,LAGOS,2250000.0
